Model,Accuracy,Precision,Recall,F1-score,AUC
Linear SVM,0.7565543071161048,0.32432432432432434,0.6153846153846154,0.4247787610619469,0.7487629329734592
RBF SVM,0.8127340823970037,0.4017857142857143,0.5769230769230769,0.47368421052631576,0.8060616284300495
