Feature,Coefficient
CRIM,-0.9714942298153093
ZN,0.7015556186825174
INDUS,0.27675211756098006
CHAS,0.7065315219738246
NOX,-1.9914304346295468
RM,3.1157183639589805
AGE,-0.17706020680903217
DIS,-3.0457706454104883
RAD,2.282784712788719
TAX,-1.7926046757521528
PTRATIO,-1.9799535094590701
B,1.126498635557219
LSTAT,-3.6281493743713633
